measurement,b,c
OD loaner,0.9753636529082726,-0.004036075522102944
OD nano,1.0064245912039347,0.010698597177337899
OD elmo,0.9948134459102643,-0.0026494582553517887
YFP loaner,0.6901658007686975,-2.334444498110194
YFP nano,0.5981079867856945,-1.994890662247073
YFP elmo,0.3315985724189834,0.9447821215496048
CFP loaner,0.718357090055126,24.74001253049931
CFP nano,0.5878933313440247,-54.61515658686888
CFP elmo,0.3087635560296922,-7.736690479363757
mCherry loaner,0.7076483452523952,2.5265800969116223
mCherry nano,0.4437871362636665,-0.7119344844009066
mCherry elmo,0.275778510700885,2.9064087296340015
GFP loaner,0.7258039815465628,-6.312757596776471
GFP nano,0.5802694610301188,-6.512295159924065
GFP elmo,0.3205257550407543,-2.169644742941566
