strain_background,plasmid_name,mixed_flag,antibiotic_name,inhibitor_name,[A],[I],Replicate
DA28102,Bla,Y,AMX,SUL,0.0,0.0,1
DA28102,Bla,Y,AMX,SUL,0.0,0.0,2
DA28102,Bla,Y,AMX,SUL,0.0,0.0,3
DA28102,Bla,Y,AMX,SUL,0.0,0.5,1
DA28102,Bla,Y,AMX,SUL,0.0,0.5,2
DA28102,Bla,Y,AMX,SUL,0.0,0.5,3
DA28102,Bla,Y,AMX,SUL,0.0,1.0,1
DA28102,Bla,Y,AMX,SUL,0.0,1.0,2
DA28102,Bla,Y,AMX,SUL,0.0,1.0,3
DA28102,Bla,Y,AMX,SUL,0.0,2.0,1
DA28102,Bla,Y,AMX,SUL,0.0,2.0,2
DA28102,Bla,Y,AMX,SUL,0.0,2.0,3
DA28102,Bla,Y,AMX,SUL,0.0,4.0,1
DA28102,Bla,Y,AMX,SUL,0.0,4.0,2
DA28102,Bla,Y,AMX,SUL,0.0,4.0,3
DA28102,Bla,Y,AMX,SUL,0.0,8.0,1
DA28102,Bla,Y,AMX,SUL,0.0,8.0,2
DA28102,Bla,Y,AMX,SUL,0.0,8.0,3
DA28102,Bla,Y,AMX,SUL,0.0,16.0,1
DA28102,Bla,Y,AMX,SUL,0.0,16.0,2
DA28102,Bla,Y,AMX,SUL,0.0,16.0,3
DA28102,Bla,Y,AMX,SUL,0.0,32.0,1
DA28102,Bla,Y,AMX,SUL,0.0,32.0,2
DA28102,Bla,Y,AMX,SUL,0.0,32.0,3
DA28102,Bla,Y,AMX,SUL,0.0,64.0,1
DA28102,Bla,Y,AMX,SUL,0.0,64.0,2
DA28102,Bla,Y,AMX,SUL,0.0,64.0,3
DA28102,Bla,Y,AMX,SUL,0.0,128.0,1
DA28102,Bla,Y,AMX,SUL,0.0,128.0,2
DA28102,Bla,Y,AMX,SUL,0.0,128.0,3
DA28102,Bla,Y,AMX,SUL,0.5,0.0,1
DA28102,Bla,Y,AMX,SUL,0.5,0.0,2
DA28102,Bla,Y,AMX,SUL,0.5,0.0,3
DA28102,Bla,Y,AMX,SUL,0.5,0.5,1
DA28102,Bla,Y,AMX,SUL,0.5,0.5,2
DA28102,Bla,Y,AMX,SUL,0.5,0.5,3
DA28102,Bla,Y,AMX,SUL,0.5,1.0,1
DA28102,Bla,Y,AMX,SUL,0.5,1.0,2
DA28102,Bla,Y,AMX,SUL,0.5,1.0,3
DA28102,Bla,Y,AMX,SUL,0.5,2.0,1
DA28102,Bla,Y,AMX,SUL,0.5,2.0,2
DA28102,Bla,Y,AMX,SUL,0.5,2.0,3
DA28102,Bla,Y,AMX,SUL,0.5,4.0,1
DA28102,Bla,Y,AMX,SUL,0.5,4.0,2
DA28102,Bla,Y,AMX,SUL,0.5,4.0,3
DA28102,Bla,Y,AMX,SUL,0.5,8.0,1
